date,open,close,high,low,volume
2025-05-06,74.4,74.87,75.11,74.4,61450
2025-05-07,75.5,74.57,75.56,74.11,58744
2025-05-08,74.98,74.38,74.98,73.72,45002
2025-05-09,74.37,74.17,74.83,73.8,42770
2025-05-12,74.2,74.25,74.39,73.72,42445
2025-05-13,74.77,73.95,74.77,73.75,46032
2025-05-14,73.91,74.41,74.8,73.33,73027
2025-05-15,74.4,73.07,74.5,73.05,74247
2025-05-16,73.11,72.53,73.23,72.11,59780
2025-05-19,72.6,72.33,72.69,71.93,55647
2025-05-20,72.33,72.86,73.19,72.33,68942
2025-05-21,73.04,73.26,73.59,72.94,46253
2025-05-22,73.01,72.4,73.12,72.36,41177
2025-05-23,72.5,71.97,72.98,71.94,44495
2025-05-26,71.98,72.2,72.28,71.3,47129
2025-05-27,72.14,73.75,73.97,72.1,101955
2025-05-28,73.75,76.0,76.3,73.02,165387
2025-05-29,75.78,75.19,75.99,74.85,66858
2025-05-30,75.0,74.17,75.98,74.17,59831
